full_name,birth_year,death_year,party_entrance_year,party_entrance_month,ethnicity
Поперека Михаил Степанович,1910,1982,1932,7,Украинец
Попков Иван Григорьевич,1904,NA,1926,9,Русский
Попов Борис Николаевич,1911,NA,1943,4,наук)
Попов Петр Петрович,1907,1976,1931,1,Русский
Поташев Алексей Иванович,1909,1987,1932,11,Русский
Почкай Илья Борисович,1910,NA,1936,12,путей
Почтенный Кузьма Григорьевич,1903,1955,1924,7,Русский
Почтовский Василий Тарасович,1909,1947,1931,9,Русский
Прибов Павел Иванович,1907,1960,1940,6,Белорус
Прибыль Христофор Семенович,1908,1965,1931,4,Белорус
Привалов Лазарь Андреевич,1907,NA,1902,9,Русский
Присекин Дмитрий Демьянович,1907,1970,1930,8,Русский
Прищепа Петр Калинович,1906,NA,1931,6,Украинец
Продедович Максим Васильевич,1909,1958,1932,7,Белорус
Прокопенко Андрей Васильевич,1915,1989,1940,1,Украинец
Пронин Владимир Иванович,1904,1961,1925,1,Русский
Пронин Илья Филиппович,1904,1955,1928,4,Русский
Прошаков Иустин Григорьевич,1903,1970,1924,6,Русский
Прошин Василий Степанович,1902,1955,1920,4,Русский
Прудников Алексей Николаевич,1907,1980,1931,4,Русский
Прудников Максим Борисович,1899,1961,1928,7,Белорус
Пугач Петр Кузьмич,1905,NA,1928,10,Украинец
Пудин Василий Иванович,1901,1974,1921,1,Русский
Пузиков Олег Прокопьевич,1916,1975,1942,11,Русский
Пулях Александр Иванович,1911,1974,1938,9,Украинец
Пуминов Владимир Николаевич,1905,1982,1931,4,Русский
Пурышев Александр Павлович,1904,NA,1930,6,Русский
Пчелкин Афанасий Афанасьевич,1903,1976,1920,5,Русский
Рагозин Аркадий Павлович,1918,1998,1946,4,Русский
Разумов Виктор Алексеевич,1900,NA,1924,12,сторожа (отец убит в 1919)
Раина Андрей Иванович,1906,1973,1927,12,Украинец
Райхман Леонид Федорович,1908,1990,1931,12,Еврей
Раков Александр Михайлович,1903,NA,1926,8,Русский
Рассыпинский Анатолий Филиппович,1909,NA,NA,NA,Русский
Расулев Абдурауф,1900,1968,1938,1,Араб
Расулев Василь Расулевич,1913,1982,1940,4,Узбек
Ратушный Николай Тимофеевич,1906,1958,1929,1,Украинец
Резев Александр Иоганнесович,1905,1970,1923,6,Эстонец
Речкалов Иван Васильевич,1907,1981,1926,2,Русский
Решетов Николай Антонович,1903,1983,1923,3,Русский
Ризаев Ахмадали,1912,NA,1938,1,Узбек
Ровинский Наум Григорьевич,1909,NA,1938,2,Еврей
Рогов Алексей Борисович,1915,1986,1940,4,Русский
Рогов Вячеслав Павлович,1900,1972,1925,2,"транспорта, мать торговка"
Родин Алексей Иванович,1908,1983,1931,2,Русский
Родионов Дмитрий Гаврилович,1906,1972,1938,3,Русский
Родованский Яков Федорович,1894,1954,1917,6,Русский
Родос Борис Вениаминович,1905,1956,1936,12,Еврей
Розанов Николай Андреевич,1906,1980,1925,8,Русский
Розин Бейнус Абрамович,1902,1977,1928,7,Еврей
Ролич Григорий Алексеевич,1907,1974,1929,9,Белорус
Романов Василий Андреевич,1907,1982,1929,11,Русский
Романов Иван Романович,1910,NA,1941,12,Русский
Романов Калистрат Андреевич,1902,1972,1926,5,Белорус
Романцов Емельян Борисович,1901,1971,1939,1,Украинец
Ромашко Константин Иванович,1910,NA,1937,10,Белорус
Ромашков Петр Иванович,1915,NA,1939,4,Русский
Российский Александр Петрович,1902,1964,1921,9,Русский
Ростомашвили Михаил Енукович,1902,1987,1924,10,Грузин
Рублев Иван Федорович,1912,2001,1941,2,Русский
Рудаков Евгений Васильевич,1905,1970,1940,3,Русский
Руденко Матвей Леонтьевич,1902,1985,1930,7,Украинец
Рудченко Сергей Леонтьевич,1907,NA,1939,6,Русский
Рузин Владимир Семенович,1904,NA,1927,7,Русский
Рузметов Курбан,1911,1984,1938,10,Узбек
Румянцев Василий Иванович,1896,1960,1919,10,Русский
Русак Иван Тимофеевич,1906,1987,1929,12,Белорус
Русаков Виктор Васильевич,1902,1964,1928,6,Русский
Рутковский Борис Иванович,1903,1988,1929,1,Белорус
Рухадзе Николай Максимович,1905,1955,1927,9,Грузин
Рыбкин Борис Аркадьевич,1899,1947,1922,6,Еврей
Рыжиков Андрей Трифонович,1906,1982,1929,4,Русский
Рыжков Василий Ефимович,1910,NA,1932,8,Русский
Рычков Иван Андреевич,1910,1964,1931,6,Русский
Рюмин Михаил Дмитриевич,1913,1954,NA,NA,Русский
Рясной Василий Степанович,1904,1995,1922,4,Русский
Сааков Ваган Аркадьевич,1901,1970,1919,11,Армянин
Саатсазов Георгий Николаевич,1903,1983,1930,5,Армянин
Савельев Виктор Васильевич,1911,NA,1940,7,Русский
Савицкий Константин Сергеевич,1905,1955,1939,5,Русский
Савченко Иван Иосифович,1900,1974,1925,10,"(после 1917 отец крестьянин, лишался избирательных прав)"
Савченко Иван Тихонович,1908,1999,1939,10,Украинец
Садовник Николай Арсентьевич,1908,1983,1931,12,Украинец
Сакенов Байзулда,1910,1992,1939,8,Казах
Салмин Иван Тимофеевич,1906,1975,1931,1,Русский
Салмин Павел Михайлович,1902,1956,1931,1,Русский
Салоимский Иван Тимофеевич,1903,1955,1931,10,Русский
Саломатов Алексей Сергеевич,1909,1972,1939,6,Русский
Салынский Николай Дмитриевич,1910,1968,1940,2,Русский
Самогородский Борис Михайлович,1906,1978,1929,8,Украинец
Самойлов Вениамин Васильевич,1915,NA,1940,3,Русский
Самыгин Дмитрий Семенович,1897,1960,1919,11,Русский
Сапелкин Поликарп Петрович,1900,1979,1920,10,Русский
Сапожников Павел Гаврилович,1912,1982,1937,11,Русский
Сапронов Николай Федорович,1897,1977,1919,10,Русский
Сараев Роман Николаевич,1903,NA,1930,12,Украинец
Саркисов Рафаэл Семенович (Симеонович),1908,NA,1930,7,Армянин
Сартов Джарин,1914,NA,1939,9,Киргиз
Сафразьян Леон Богданович,1893,1954,1919,1,Армянин
Сахаров Борис Сергеевич,1898,1970,1926,5,Русский
Сахаровский Александр Михайлович,1909,1983,1930,2,Русский
Свердлов Андрей Яковлевич,1911,1969,1939,4,"ВЦИК Яков Михайлович (Моисеевич) Свердлов, умер в 1919)"
Свечников Георгий Владимирович,1905,1962,1923,5,Русский
Свешников Константин Алексеевич,1909,1986,1931,3,Русский
Свинелупов Михаил Георгиевич,1903,1979,1926,10,Русский
Себискверадзе Филарет Давидович,1904,1968,1928,12,Грузин
Северухин Александр Николаевич,1905,1966,1927,3,машиниста на ж.д
Селезнев Николай Дмитриевич,1911,1979,1932,9,Русский
Селивановский Николай Николаевич,1901,1997,1923,2,конторщика – кондуктора
Семенов Василий Прохорович,1915,1980,1939,9,Русский
Семенов Леонид Сергеевич,1905,1984,1904,17,Русский
Семенов Михаил Иванович,1906,1962,1929,11,Русский
Семенов Павел Прокофьевич,1907,1990,1931,10,Русский
Семенов Сергей Григорьевич,1910,1984,1931,2,Русский
Семеновых Павел Михайлович,1903,1982,1928,9,Русский
Семкин Григорий Галактионович,1905,NA,1928,1,Русский
Семыкин Григорий Дмитриевич,1904,1957,1930,6,Русский
Сененков Алексей Федотович,1903,1982,1929,5,Русский
Сенин Капитон Иванович,1903,1967,1928,11,Русский
Сербунов Василий Павлович,1908,1972,1929,12,Русский
Сергеев Михаил Михайлович,1906,1976,1937,1,Русский
Сериков Михаил Кузьмич,1894,1969,1931,2,Русский
Серов Федор Михайлович,1907,1981,1928,5,Русский
Сиднев Алексей Матвеевич,1907,1958,1931,3,Русский
Сидоров Александр Евдокимович,1902,1995,1928,6,Русский
Сидоров Александр Семенович,1914,1995,1938,3,Русский
Сидоров Иван Данилович,1910,1983,1931,1,Русский
Сидоров Иван Кузьмич,1906,NA,1926,2,Русский
Сизов Николай Сергеевич,1914,1981,NA,NA,Русский
Сикимов Абдулла Кипчакбаевич,1905,1988,1932,1,Казах
Симаков Василий Алексеевич,1907,1942,1930,11,Коми
Симаков Виктор Игнатьевич,1914,1989,1939,9,Русский
Симонишвили Георгий Давидович,1911,NA,1940,1,Грузин. В КП с 01.40.
Симонян Арташес Сумбатович,1899,1975,1939,4,Армянин
Синегубов Николай Иванович,1895,NA,1920,2,Украинец
Синицын Яков Никитич,1894,1971,1918,9,Русский
Синицын Яков Федорович,1905,1987,1928,8,Русский
Синюшин Петр Васильевич,1907,1974,1931,7,Русский
Сироткин Александр Савельевич,1890,1965,1919,10,"Русский. В КП с 10.19.Чернорабочий частной столовой, СПб. 1908–1910."
Ситдыков Салих Садыкович,1909,1984,1939,11,Татарин
Слонь Михаил Варнаевич,1906,1955,1926,9,Украинец
Слякоткин Николай Иванович,1900,1961,1926,2,Русский
Смирнов Василий Матвеевич,1906,1980,1936,12,Русский
Смирнов Владимир Иванович,1895,1972,1928,4,Русский
Смирнов Георгий Николаевич,1901,NA,1920,1,Русский
Смирнов Дмитрий Михайлович,1903,1980,1919,12,Русский
Смирнов Иван Петрович,1915,1988,1939,6,Русский
Смирнов Павел Петрович,1896,1983,1918,7,Русский
Смирнов Сергей Николаевич,1905,1970,1939,6,Русский
Смирнов Федор Константинович,1912,1975,1932,9,Русский
Смолин Константин Петрович,1902,NA,1927,4,Русский
Смородинский Владимир Тимофеевич,1904,NA,1924,9,Русский
Соколичко Илья Филиппович,1907,1970,1932,6,Русский
Соколов Алексей Алексеевич,1903,NA,1927,6,Русский
Соколов Константин Анатольевич,1915,NA,1940,3,Русский
Соколов Павел Николаевич,1907,NA,1940,6,Русский
Соловьев Александр Гаврилович,1905,1963,1930,11,Русский
Соловьев Александр Федорович,1900,1969,1918,10,Русский
Соловьев Сергей Иванович,1908,1975,1928,7,Русский
Сорокин Александр Алексеевич,1912,2007,NA,NA,Русский
Сорокин Дмитрий Иванович,1906,1969,1928,9,Русский
Соснин Виктор Георгиевич,1907,1978,1925,12,ФО
Соснов Константин Михайлович,1905,NA,1938,4,Русский
Сотский Павел Станиславович,1905,1983,1928,8,Белорус
Спандарьян Сергей Суренович,1909,1980,1939,6,Армянин
Стадухин Петр Гаврилович,1908,1969,1929,8,Русский
Старинов Гавриил Григорьевич,1903,NA,1927,8,Русский
Старичков Александр Васильевич,1901,1966,1924,7,Русский
Старцев Василий Иосифович,1909,1984,1931,12,Русский
Стаханов Николай Павлович,1901,1977,1937,8,Русский
Сташко Лев Ильич,1900,1966,1918,7,Еврей
Стебловский Михаил Викторович,1907,NA,1929,10,Украинец
Стельмах Иван Макарович,1912,1990,1940,5,Белорус
Степанец Александр Ефимович,1914,1988,1940,1,Русский
Стехов Сергей Трофимович,1898,1994,1918,10,Русский
Столяров Петр Иванович,1901,1961,1925,9,Русский
Строкач Тимофей Амвросиевич,1903,1963,1927,12,Украинец
Строков Глеб Александрович,1917,NA,1943,5,служащего
Студников Лев Александрович,1909,1981,1930,6,Русский
Ступаченко Григорий Иванович,1910,NA,1942,7,"служащий, убит в 1921)"
Ступницкий Михаил Семенович,1912,1972,1937,11,Украинец
Стыров Василий Дмитриевич,1906,1994,1924,11,Русский
Стыценко Григорий Никитич,1909,1977,NA,NA,Русский
Судоплатов Павел Анатольевич,1907,1996,1928,2,Украинец
Суладзе Шалва Захарьевич,1907,1958,1939,4,мастерских
Сумской Михаил Михайлович,1915,NA,1940,4,Украинец
Суранов Сергей Саввич,1900,1983,1936,12,рабочего
Сурков Николай Васильевич,1904,1985,1924,4,мастера (отец умер в 1919)
Суровицких Иван Данилович,1905,1986,1929,2,Русский
Сурхаев Далгат Халимбекович,1909,1980,1932,5,Даргинец
Суслов Николай Григорьевич,1899,1962,1937,7,Русский
Сухарев Петр Федорович,1904,NA,1928,10,Русский
Суходольский Владимир Николаевич,1907,1966,1927,1,Русский
Сухомлинов Даниил Осипович,1909,NA,1930,9,Русский
Сысоев Александр Александрович,1901,1976,1919,11,Русский
Сысоев Федор Тимофеевич,1906,1971,1932,10,Русский
Сюганов Всеволод Петрович,1902,1986,1921,1,Русский
Тарасов Дмитрий Петрович,1913,1998,1940,5,Русский
Тахчианов Пантелеймон Иванович,1906,1977,1929,7,Грек
Текаев Борис Ильич,1908,1980,1938,12,Осетин
Терезов Михаил Алексеевич,1907,NA,1937,6,Русский
Терещенко Александр Владимирович,1901,1975,1940,3,Русский
Тер-Ишханов Григорий Хасрович,1908,1973,1931,10,Армянин
Техов Николай Тимофеевич,1906,1981,1929,7,Русский
Тимонин Михаил Сергеевич,1900,1982,1928,8,Русский
Тимофеев Петр Петрович,1899,1958,1919,5,Родился в семье конторщика ж.д.1 Русский. В КП с 05.19.
Тимошенко Василий Карпович,1908,1970,1931,10,рабочего ж.д
Тимошенко Николай Иванович,1910,1982,1931,4,Украинец
Тимошенков Константин Григорьевич,1908,1975,1931,6,Русский
Титов Андрей Михайлович,1902,1968,1925,2,Русский
Тихвинский Сергей Леонидович,1918,NA,1941,4,врача
Тихонов Борис Сергеевич,1906,1955,1929,10,Русский
Тихонов Павел Павлович,1909,1990,1928,11,Русский
Тишков Арсений Васильевич,1909,1979,1931,12,Русский
Ткаченко Иван Максимович,1910,1955,1929,2,Украинец
Товстуха Александр Григорьевич,1911,1983,1939,6,"ревкома, расстрелян белыми в 1919)"
Тлеумагамбетов Жалекен,1914,NA,1939,10,"Родители умерли – мать в 1916, отец в 1933. Казах. В КП с 10.39."
Толчеев Алексей Федорович,1902,1969,1926,7,Русский
Тониянц Аршак Вартанович,1908,1976,1930,5,Армянин
Тополин Степан Александрович,1908,1983,1928,10,Украинец
Топурия Владимир Викторович,1915,NA,1943,9,Грузин
Торопов Александр Степанович,1905,1980,1930,5,Русский
Торчинский Павел Иванович,1906,1981,1928,10,Украинец
Тотоев Сергей Николаевич,1901,1976,1928,8,Осетин
Трапезников Николай Галактионович,1905,1976,1929,2,Русский
Трофимов Борис Петрович,1902,1975,1918,8,Русский
Тульке Николай Антонович,1896,1956,1927,5,Латыш
Турко Николай Григорьевич,1918,NA,1939,5,Украинец
Турунтаев Петр Васильевич,1912,1985,1940,6,Русский
Турчанинов Яков Семенович,1903,NA,1920,8,Русский
Тутушкин Федор Яковлевич,1900,1959,1917,9,Русский
Угловский Павел Федорович,1902,1975,1927,12,Белорус
Удалов Георгий Михайлович,1907,NA,1931,9,Русский
Ульянов Николай Алексеевич,1897,1969,1924,10,Русский
Умаров Сайдулла Муратович,1910,1978,1940,1,Узбек
Умарходжиев Сейдоспан Тажиханович,1914,1981,1939,12,Казах
Урушадзе Илья Григорьевич,1914,NA,1940,7,Грузин
Усов Виктор Михайлович,1902,1968,1925,8,Русский
Усов Михаил Алексеевич,1904,1970,1942,3,Русский
Устинов Владимир Ефимович,1900,1957,1922,6,аптекой Александровского з-да
Устинов Владимир Иванович,1907,1971,1928,2,Русский
Утегенов Турсункул,1912,1984,1940,1,Казах
Утехин Георгий Валентинович,1906,1987,1929,9,"врача (отец умер в 1914, имел чин статского советника, мать работала зубным врачом)"
Ушаков Иван Федорович,1916,NA,1939,12,Русский
Фадеев Семен Федорович,1914,NA,1939,7,Русский
Фараджев Гасан Мусейб Оглы,1905,1977,1928,10,Азербайджанец
Федаков Александр Федорович,1905,1971,1927,2,Русский
Федичкин Дмитрий Георгиевич,1902,1991,1921,4,Русский
Федоренко Яков Артемович,1908,NA,1929,12,Украинец
Федоров Александр Дементьевич,1903,1975,1921,3,Русский
Федоров Александр Николаевич,1905,NA,1941,6,Русский
Федоров Валериан Александрович,1906,1983,1927,5,Русский
Федоров Серафим Александрович,1918,NA,1942,7,Русский
Федосеев Сергей Михайлович,1915,1998,1939,4,Русский
Федотов Алексей Васильевич,1907,1975,1937,5,Русский
Федотов Николай Васильевич,1903,1983,1941,1,машиниста парохода
Федотов Николай Георгиевич,1906,1976,1931,1,Русский
Федотов Петр Васильевич,1914,1965,1940,10,Русский
Фесенко Владимир Елисеевич,1918,NA,1942,4,Русский
Филатов Виктор Дмитриевич,1910,1972,1941,4,хора (после 1917 отец работал лифтером)
Филатов Степан Иванович,1901,1980,1926,12,Русский
Филин Сергей Максимович,1899,1950,1927,12,Русский
Филиппов Анатолий Иванович,1913,1982,1941,1,Русский
Филиппов Борис Николаевич,1912,NA,1942,11,Русский
Филон Павел Александрович,1907,NA,1932,8,Белорус
Филонов Владимир Михайлович,1908,NA,1929,10,Русский
Филонов Иван Борисович,1905,1975,1929,3,Русский
Фокин Петр Максимович,1900,1979,1921,6,Русский
Фотченко Тимофей Васильевич,1899,NA,1924,6,Русский
Фришко Сергей Александрович,1908,NA,1931,8,Отчим был крестьянином-середняком
Фролов Алексей Васильевич,1904,1965,1926,3,Русский
Фролов Алексей Федорович,1907,NA,1927,6,Русский
Фролов Андрей Петрович,1908,NA,1937,11,Русский
Фукин Константин Александрович,1900,1979,1919,9,Русский
Хайлов Николай Степанович,1901,1968,1924,11,Русский
Хамидов Наби Разикович,1912,NA,1941,9,Узбек
Хамидов Рахим Абдурахимович,1916,1988,1939,10,"Родители умерли в 1917, воспитывался в семье брата – служащего"
Хамидуллин Гариф Насыбович,1908,1978,1931,8,Татарин
Хандожко Николай Потапович,1905,1988,1930,8,Украинец
Харитонов Михаил Петрович,1916,NA,1939,9,Русский
Харитонов Николай Петрович,1916,1980,1939,4,Русский
Харитонов Федор Петрович,1907,1991,1930,12,Русский
Хархардин Александр Иванович,1903,1976,1924,10,Русский
Хачатрян Амо Никогосович,1910,NA,1939,4,Армянин
Хащин Николай Семенович,1903,1950,1930,9,Русский
Хвастовский Николай Игнатьевич,1905,NA,1927,3,Воспитывался в интернате
Хват Александр Григорьевич,1907,1993,1901,9,Русский
Хикматуллаев Нигматулла,1921,NA,1949,7,Узбек
Химченко Андрей Дмитриевич,1905,1963,1927,10,Украинец
Холево Семен Иванович,1912,1982,1939,6,Белорус
Хорошун Александр Алексеевич,1913,2007,1940,5,Украинец
Хорсун Семен Трофимович,1907,1976,1929,8,Украинец
Храпунов Павел Филиппович,1908,1987,1931,10,Русский
Хромов Виктор Яковлевич,1907,1946,1931,11,Русский
Хромых Михаил Ильич,1910,1970,1931,8,Русский
Хуснутдинов Ибрагим Гильмутдинович,1913,1972,1943,6,Татарин
Цагурия Василий Иосифович,1902,NA,1927,9,Грузин
Цветков Петр Григорьевич,1905,1977,1924,3,Русский
Цветухин Федор Андреевич,1904,1985,1937,8,Украинец
Цвигун Леонид Васильевич,1902,1976,1926,9,Украинец
Цепков Виктор Георгиевич,1905,1976,1927,4,Украинец
Церетели Шалва Отарович,1894,1955,1920,3,Воспитывался отчимом – машинистом
Цикляев Николай Тимофеевич,1905,1983,1926,1,Русский
Цинев Георгий Карпович,1907,1996,NA,NA,Русский. В КП с 1932.
Цымбал-Черногорский Евгений Александрович,1903,NA,1931,12,Украинец
Цымбаленко Леонид Владимирович,1914,1982,1944,3,Украинец
Чайковский Петр Митрофанович,1902,1985,1926,11,Русский
Чантурия Митрофан Леванович,1903,1965,1928,5,Грузин
Чередниченко Моисей Михайлович,1905,1953,NA,NA,Украинец
Чермных Алексей Алексеевич,1901,1971,1925,10,Русский
Чернецкий Борис Николаевич,1906,1979,1938,12,Украинец
Черников Сергей Федорович,1908,1968,1929,5,Русский
Чернов Александр Васильевич,1911,1978,1940,8,Русский
Чернов Иван Александрович,1906,1991,1927,12,Русский
Черноштан Александр Евстафьевич,1913,NA,1941,11,Украинец
Чернышев Павел Сергеевич,1908,1970,1931,9,– счетного работника (отец умер в 1920)
Чернявский Митрофан Илларионович,1895,1981,1918,4,Белорус
Чертов Иван Александрович,1905,1951,1927,8,Русский
Чесалов Леонид Петрович,1908,1944,1930,7,После 1917 на иждивении матери – крестьянки-беднячки
Чесноков Александр Николаевич,1900,NA,1920,5,Русский
Чесноков Николай Петрович,1903,1980,1930,12,Русский
Чижевский Тимофей Анисимович,1916,NA,1939,5,Русский
Чичаев Иван Андреевич,1896,1984,1918,10,Русский
Чичеринда Андрей Карпович,1913,1962,1938,2,Украинец
Чоботов Александр Андреевич,1901,1964,1925,4,Украинец
Чувпило Василий Григорьевич,1895,1965,1925,3,Украинец
Чугунов Василий Иванович,1899,1978,1918,11,Русский
Шабунин Михаил Иванович,1899,1967,1927,3,Русский
Шамарин Андрей Васильевич,1904,1994,1926,3,Русский
Шандрин Сергей Максимович,1909,NA,1931,2,Русский
Шанин Павел Сергеевич,1906,1967,1931,1,Русский
Шаповалов Яков Андреевич,1905,NA,1929,3,Украинец
Шарапов Николай Георгиевич,1909,1996,1939,2,Русский
Шариков Михаил Петрович,1902,1975,1918,11,Русский
Шарипов Абдул-Ахат Садыкович,1910,1976,1937,9,Татарин
Шармазанашвили Владимир Харитонович,1900,1984,1918,11,Грузин
Шарок Григорий Федорович,1900,1981,1922,1,Русский
Шаталин Николай Николаевич,1904,1984,NA,NA,Русский
Шаталов Василий Иванович,1906,1981,1930,11,Русский
Шатеркин Иван Васильевич,1902,1971,1924,12,Русский
Шатилов Михаил Александрович,1906,NA,1928,9,Русский
Шатманов Кожомкул,1915,NA,1940,1,"Родители умерли в 1916, воспитывался у дяди – крестьянина-бедняка"
Шаханский Иван Федорович,1906,1972,1929,8,Русский
Шашков Николай Георгиевич,1907,1963,1936,12,Русский
Шаяхметов Ташим Шаяхметович,1911,1967,1943,3,Русский
Шварцман Лев Леонидович,1907,1955,1936,12,Еврей
Швырков Михаил Федорович,1909,1993,1930,6,Русский
Шевелев Иван Григорьевич,1904,NA,1932,10,Русский
Шевченко Владимир Григорьевич,1912,1980,1938,7,Украинец
Шелиханов Павел Семенович,1909,1985,1939,7,Белорус
Шемена Семен Иванович,1903,1965,1930,1,Украинец
Шестаков Михаил Николаевич,1909,2009,1939,2,Русский
Шибаев Михаил Егорович,1904,1980,1902,14,Удмурт
Шибаев Петр Андреевич,1902,1961,1928,3,Русский
Шибаев Петр Михайлович,1904,1986,1926,9,Русский
Шикторов Иван Сергеевич,1908,1978,1928,7,Русский
Шило Алексей Петрович,1911,NA,1939,11,(отец умер в 1924)
Ширинбаев Шариф Каюмович,1908,1982,1931,12,Узбек
Ширманов Виктор Тимофеевич,1901,1970,1919,4,Русский
Ширманов Ефим Ефимович,1905,1957,1939,4,Русский
Ширяев Федор Николаевич,1912,1968,1942,6,Русский
Шитиков Никита Ионович,1896,1974,1918,10,Русский
Шитов (Алексеев1) Александр Иванович,1913,1998,1938,1,Русский
Шиукашвили Лаврентий Ильич,1912,1981,1939,5,Осетин
Шишкин Михаил Павлович,1908,1978,1931,7,Русский
Шишлин Иван Васильевич,1906,1949,1928,4,Русский
Шишов Александр Иванович,1900,1975,1919,2,Русский
Шиян Василий Васильевич,1909,1979,1931,1,Украинец
Школа (Шкляренко) Тихон Тихонович,1912,NA,1939,6,Русский
Шкурин Алексей Калинникович,1904,NA,1925,6,Русский
Шмойлов Евгений Порфирьевич,1916,1971,1939,11,Русский
Шмыгин Георгий Иванович,1912,NA,1941,4,Русский
Шнюков Григорий Прокопьевич,1907,1985,1930,3,Русский
Шпигов Николай Семенович,1903,1956,1926,7,Русский
Шубняков Федор Григорьевич,1916,1996,1940,7,Русский
Шукшин Федор Андреевич,1911,1977,1932,8,Русский
Шумаков Иван Васильевич,1904,NA,1927,10,Русский
Шумских Александр Иванович,1914,NA,1941,7,Русский
Шустин Семен Матвеевич,1908,1978,1930,12,Еврей
Шутов Павел Львович,1904,1965,1937,12,Русский
Щенявский Пимен Алексеевич,1905,1950,1929,6,Украинец
Щербаков Леонид Карпович,1905,1969,1927,9,Русский
Щербаков Михаил Петрович,1906,NA,1930,7,Русский
Щуров Вячеслав Петрович,1914,1989,1942,12,Украинец
Эглит Август Петрович,1896,1966,1914,10,Латыш
Эйтингон Наум Исаакович (Наумов Леонид Александрович),1899,1981,1919,10,Еврей
Юдин Михаил Сергеевич,1903,NA,1909,10,Русский
Юдичев Павел Николаевич,1905,1967,1942,10,Русский
Юсупбеков Аристан,1914,1982,1940,3,Казах
Юсупов Аюп Якубович,1901,1976,1924,6,Татарин
Юхимович Семен Петрович,1900,NA,1926,12,Украинец
Яковенко Александр Михайлович,1908,NA,1930,11,Украинец
Яковлев Василий Терентьевич,1899,1950,1930,7,служащего
Яковлев Михаил Михайлович,1907,1989,1930,1,Русский
Яковлев (Халфин) Яков Лазаревич,1906,NA,1932,11,Еврей
Якубов Мир-Теймур Мир-Алекпер Оглы,1904,1970,1927,9,Азербайджанец
Яроцкий Владимир Иванович,1913,1960,1939,3,Украинец
Яценко Николай Иванович,1898,1971,1918,7,Украинец
Ященко Василий Владимирович,1915,1989,1939,4,Русский
