full_name,birth_year,death_year,party_entrance_year,party_entrance_month,ethnicity
Бутенко Григорий Никифорович,1904,1981,1930,10,Украинец
Буторов Михаил Афанасьевич,1902,1969,1938,11,Русский
Буянов Леонид Сергеевич,1911,1965,1931,8,Русский
Бызов Алексей Петрович,1904,1982,1923,5,Русский
Быков Давид Романович,1903,1982,1931,8,Еврей
Быков Николай Федорович,1909,1987,1931,3,Русский
Быковский Тарас Сидорович,1907,1969,1939,5,Русский
Быстров Александр Семенович,1904,1964,1932,3,Русский
Вайнштейн Борис Соломонович (Самойлович),1907,1993,NA,NA,Еврей
Вакарев Николай Дмитриевич,1912,1988,1942,1,Русский
Варшавер Григорий Матвеевич,1906,1975,1932,2,Еврей
Васенков Иван Яковлевич,1911,1989,1939,7,Русский
Василевский Артемий Евгеньевич,1900,1941,1926,11,Украинец
Василевский Лев Петрович,1903,1979,1927,5,Еврей
Васильев Александр Михайлович,1912,NA,1932,3,Русский
Васильев Владимир Николаевич,1902,1969,1927,6,Русский
Васькин Василий Тимофеевич,1914,1993,1939,6,Русский
Вахрушев Степан Васильевич,1912,NA,NA,NA,паровозного машиниста (отец умер в 1916)
Вашкин Иван Алексеевич,1903,1961,1926,10,Русский
Веверс Ян Янович,1899,1978,1919,11,Латыш
Веденеев Иван Павлович,1903,1956,1928,5,Русский
Веденин Андрей Яковлевич,1900,1984,1925,6,Русский
Великанов Николай Сергеевич,1905,1981,1929,7,мастера
Вербицкий Савелий Ильич,1906,1951,1928,6,Русский
Веревка Никанор Иванович,1898,1957,1918,6,Украинец
Веселов Александр Александрович,1911,1965,1940,4,Русский
Веселов Иван Мефодьевич,1903,1971,1931,9,Русский
Веселов Федор Иванович,1913,1973,1939,4,Русский
Викторов Василий Георгиевич,1912,NA,1931,9,Родился в семье рабочего-ткача. В КП с 09.31.
Вильджюнас Йонас Ионович,1907,1989,1928,11,Литовец
Виноградов Валентин Васильевич,1906,1980,1929,4,Русский
Виноградов Николай Александрович,1907,1965,1930,12,"Приемный отец был рабочий-текстильщик, умер в 1918"
Виноградов Николай Савватьевич,1913,1986,1941,2,кондуктора товарных поездов
Витков Григорий Иванович,1902,1975,1927,2,Русский
Вишневский Дмитрий Константинович,1905,1969,1926,11,Русский
Владимиров Николай Иванович,1902,1985,1920,12,Русский
Власенко Иван Иванович,1917,1979,1940,12,Украинец
Власов Николай Алексеевич,1901,1969,1926,8,Русский
Волков Александр Никитович,1898,1942,1925,2,Русский
Волков Александр Петрович,1904,1974,1927,4,Русский
Волков Алексей Иванович,1909,1964,1930,1,Русский
Волков Захар Павлович,1913,NA,1939,4,Родился в семье крестьянина-бедняка (отец умер в 1921). В КП с 04.39.
Волков Иван Иванович,1906,1975,1925,11,Русский
Волобуев Моисей Федотович,1898,1984,1924,9,Украинец
Володин Николай Павлович,1905,1965,1929,3,Русский
Волосников Николай Яковлевич,1916,NA,1940,6,Русский
Волошенко Константин Исидорович (Сидорович),1905,1988,1930,5,Русский
Воробьев Иван Яковлевич,1907,1974,1931,7,Русский
Воронин Николай Васильевич,1913,1985,1939,9,инспектора ж.-д
Воронин Петр Николаевич,1913,1995,1944,8,Русский
Воронков Сергей Петрович,1902,1983,1928,5,Русский
Воронович Иван Григорьевич,1904,1972,1928,11,рабочего
Воронцов-Кусков Иван Дмитриевич,1908,NA,1939,5,Русский
Воронцов Павел Петрович,1904,NA,1926,11,Русский
Воротников Николай Александрович,1905,1941,1925,3,Русский
Врадий Иван Иванович,1906,1984,1932,1,Украинец
Вул Алексей Моисеевич,1902,1960,1925,4,Еврей
Выжлецов Иван Витальевич,1905,1974,1926,6,Русский
Вяземский Александр Александрович,1908,NA,1932,3,Русский
Габитов Абдулла Гисматуллович,1910,NA,1940,12,Татарин
Гаврилов Александр Григорьевич,1902,1959,1925,7,Русский
Гаврилов Петр Аркадьевич,1896,NA,1901,1,Армянин1
Гавриш Василий Иванович,1907,NA,1930,7,путевого рабочего
Гайнетдинов Махмуд Гайзетдинович,1893,1976,1927,4,Татарин
Галиуллин Хаким Галиуллович,1911,1990,1937,11,Татарин
Галкин Лев Федорович,1908,1961,1927,4,Русский
Гамрекели Степан Степанович,1904,1984,1930,9,Грузин
Ганин Геннадий Яковлевич,1905,1955,1926,4,Русский
Ганин Искандер Абдурахманович,1903,NA,1926,3,Татарин
Гапонцев Иван Иосифович,1912,1987,1942,7,Русский
Гаранин Федор Алексеевич,1910,1981,1939,10,Русский
Гарибашвили Иван Иосифович,1908,1989,1940,4,Грузин
Гасанов Ибрагим Алиевич,1912,1985,1940,12,Азербайджанец
Гасников Александр Степанович,1903,1954,1926,12,Русский
Гаспарян (Каспаров) Аслан Хосрович,1898,NA,1929,9,Армянин
Гассиев Илья Иванович,1902,1974,1927,7,Осетин
Гельдымурадов Хаджи (Ходжи),1913,NA,1940,8,Туркмен
Генералов Михаил Александрович,1908,1942,1929,2,Русский
Геозолян Гарегин Арутюнович,1903,NA,1927,8,Армянин
Герасимов Алексей Акимович,1912,NA,1931,5,Русский
Герасимов Григорий Иванович,1908,1993,1931,9,Русский
Герцовский Аркадий Яковлевич,1904,NA,1939,6,крестьянина)
Гладышев Василий Степанович,1900,1978,1938,9,Русский
Глазков Михаил Фролович,1906,1963,1928,4,Русский
Глазов Василий Петрович,1906,1969,1929,7,Русский
Глотов Александр Иванович,1905,1988,1931,8,Русский
